"new_trait","TrtGeno","TrtPop","Treatment","Time","Colnum","Rownum","Col","Row","pos"
0.0026991816369834,"WW_GenoA50","WW_Panel1","WW",1,15,1,"15","1","c15r1"
0.00279397143350272,"WW_GenoA1","WW_Panel1","WW",1,15,2,"15","2","c15r2"
0.003178928336499,"WW_GenoA30","WW_Panel1","WW",1,15,3,"15","3","c15r3"
0.00239079401220009,"WW_GenoA42","WW_Panel1","WW",1,15,4,"15","4","c15r4"
0.00308537572543021,"WW_GenoA8","WW_Panel1","WW",1,15,5,"15","5","c15r5"
0.00266905664786222,"WW_GenoA41","WW_Panel1","WW",1,15,6,"15","6","c15r6"
0.00200621061510789,"WW_GenoA3","WW_Panel1","WW",1,15,7,"15","7","c15r7"
0.0041057115242521,"WW_GenoA19","WW_Panel1","WW",1,15,8,"15","8","c15r8"
0.00282011436785331,"WW_GenoA51","WW_Panel1","WW",1,15,9,"15","9","c15r9"
0.00237344377784052,"WW_GenoA20","WW_Panel1","WW",1,15,10,"15","10","c15r10"
0.00193178697718548,"WW_GenoA27","WW_Panel1","WW",1,15,11,"15","11","c15r11"
0.00311855302605044,"WW_GenoA48","WW_Panel1","WW",1,15,12,"15","12","c15r12"
0.0031958556525628,"WW_GenoA28","WW_Panel1","WW",1,15,13,"15","13","c15r13"
0.00218164744887289,"WW_GenoA49","WW_Panel1","WW",1,15,14,"15","14","c15r14"
0.00138093402815656,"WW_GenoA57","WW_Panel1","WW",1,15,15,"15","15","c15r15"
0.00316207062634326,"WW_GenoA16","WW_Panel1","WW",1,15,16,"15","16","c15r16"
0.00259817504591854,"WW_GenoA11","WW_Panel1","WW",1,15,17,"15","17","c15r17"
0.00184429948116109,"WW_GenoA38","WW_Panel1","WW",1,15,18,"15","18","c15r18"
0.000911438492193751,"WW_GenoA17","WW_Panel1","WW",1,15,19,"15","19","c15r19"
0.00258818267372756,"WW_GenoA18","WW_Panel1","WW",1,15,20,"15","20","c15r20"
0.00252726973919006,"WW_GenoA14","WW_Panel1","WW",1,15,21,"15","21","c15r21"
0.00289712150701262,"WW_GenoA35","WW_Panel1","WW",1,15,22,"15","22","c15r22"
0.00232552847755775,"WW_GenoA29","WW_Panel1","WW",1,15,23,"15","23","c15r23"
0.00231394571491774,"WW_GenoA13","WW_Panel1","WW",1,15,24,"15","24","c15r24"
0.00172903351504623,"WW_GenoA39","WW_Panel1","WW",1,15,25,"15","25","c15r25"
0.0027973068101831,"WW_GenoA58","WW_Panel1","WW",1,15,26,"15","26","c15r26"
0.00316817900815979,"WW_GenoA10","WW_Panel1","WW",1,15,27,"15","27","c15r27"
0.00239800829418288,"WW_GenoA23","WW_Panel1","WW",1,15,28,"15","28","c15r28"
0.00306056076721625,"WW_GenoA56","WW_Panel1","WW",1,15,29,"15","29","c15r29"
0.00256379035277851,"WW_GenoA5","WW_Panel1","WW",1,15,31,"15","31","c15r31"
0.00246036306042178,"WW_GenoA12","WW_Panel1","WW",1,15,32,"15","32","c15r32"
0.00256801894062525,"WW_GenoA44","WW_Panel1","WW",1,15,33,"15","33","c15r33"
0.00343055264639647,"WW_GenoA7","WW_Panel1","WW",1,15,34,"15","34","c15r34"
0.0026343002783406,"WW_GenoA34","WW_Panel1","WW",1,15,35,"15","35","c15r35"
0.00264586659980369,"WW_GenoA24","WW_Panel1","WW",1,15,36,"15","36","c15r36"
0.00277744624948164,"WW_GenoA2","WW_Panel1","WW",1,15,37,"15","37","c15r37"
0.00326485101086609,"WW_GenoA6","WW_Panel1","WW",1,15,38,"15","38","c15r38"
0.00214491631560738,"WW_GenoA54","WW_Panel1","WW",1,15,39,"15","39","c15r39"
0.00262295441632881,"WW_GenoA33","WW_Panel1","WW",1,15,40,"15","40","c15r40"
0.00332951957631397,"WW_GenoA46","WW_Panel1","WW",1,15,41,"15","41","c15r41"
0.00251986816336078,"WW_GenoA21","WW_Panel1","WW",1,15,42,"15","42","c15r42"
0.00224414354310717,"WW_GenoA32","WW_Panel1","WW",1,15,43,"15","43","c15r43"
0.00318533276523916,"WW_GenoA15","WW_Panel1","WW",1,15,44,"15","44","c15r44"
0.00259216386609603,"WW_GenoA40","WW_Panel1","WW",1,15,45,"15","45","c15r45"
0.00259881725475902,"WW_GenoA25","WW_Panel1","WW",1,15,46,"15","46","c15r46"
0.00290119009608144,"WW_GenoA9","WW_Panel1","WW",1,15,47,"15","47","c15r47"
0.00282123266850454,"WW_GenoA43","WW_Panel1","WW",1,15,48,"15","48","c15r48"
0.0032323524039975,"WW_GenoA26","WW_Panel1","WW",1,15,49,"15","49","c15r49"
0.00271726753130027,"WW_GenoA47","WW_Panel1","WW",1,15,50,"15","50","c15r50"
0.00254025802225033,"WW_GenoA22","WW_Panel1","WW",1,15,51,"15","51","c15r51"
0.00314253112318099,"WW_GenoA60","WW_Panel1","WW",1,15,52,"15","52","c15r52"
0.00220679062897777,"WW_GenoA55","WW_Panel1","WW",1,15,53,"15","53","c15r53"
0.00190072011019588,"WW_GenoA4","WW_Panel1","WW",1,15,54,"15","54","c15r54"
0.00188966431955004,"WW_GenoA45","WW_Panel1","WW",1,15,55,"15","55","c15r55"
0.00333937940120488,"WW_GenoA59","WW_Panel1","WW",1,15,56,"15","56","c15r56"
0.00176218429352281,"WW_GenoA36","WW_Panel1","WW",1,15,57,"15","57","c15r57"
0.00315722909824402,"WW_GenoA52","WW_Panel1","WW",1,15,58,"15","58","c15r58"
0.00344590193564267,"WD_GenoA15","WD_Panel1","WD",1,16,1,"16","1","c16r1"
0.00251297432063839,"WD_GenoA1","WD_Panel1","WD",1,16,2,"16","2","c16r2"
0.00212782237330938,"WD_GenoA38","WD_Panel1","WD",1,16,3,"16","3","c16r3"
0.00367778470720077,"WD_GenoA21","WD_Panel1","WD",1,16,4,"16","4","c16r4"
0.00315645624354357,"WD_GenoA33","WD_Panel1","WD",1,16,5,"16","5","c16r5"
0.00330199222150279,"WD_GenoA56","WD_Panel1","WD",1,16,6,"16","6","c16r6"
0.00252850482654827,"WD_GenoA16","WD_Panel1","WD",1,16,7,"16","7","c16r7"
0.00133261091445758,"WD_GenoA36","WD_Panel1","WD",1,16,9,"16","9","c16r9"
0.00294834391012144,"WD_GenoA44","WD_Panel1","WD",1,16,11,"16","11","c16r11"
0.00264148948545082,"WD_GenoA57","WD_Panel1","WD",1,16,12,"16","12","c16r12"
0.00299061921486694,"WD_GenoA32","WD_Panel1","WD",1,16,13,"16","13","c16r13"
0.00278141292575024,"WD_GenoA30","WD_Panel1","WD",1,16,14,"16","14","c16r14"
0.00300268989899555,"WD_GenoA3","WD_Panel1","WD",1,16,15,"16","15","c16r15"
0.0023576848153629,"WD_GenoA40","WD_Panel1","WD",1,16,16,"16","16","c16r16"
0.00156981411539236,"WD_GenoA27","WD_Panel1","WD",1,16,17,"16","17","c16r17"
0.00397852130002038,"WD_GenoA8","WD_Panel1","WD",1,16,18,"16","18","c16r18"
0.00300864421029801,"WD_GenoA58","WD_Panel1","WD",1,16,19,"16","19","c16r19"
0.00198679845459447,"WD_GenoA39","WD_Panel1","WD",1,16,20,"16","20","c16r20"
0.00213647404090569,"WD_GenoA35","WD_Panel1","WD",1,16,21,"16","21","c16r21"
0.00270014684240786,"WD_GenoA9","WD_Panel1","WD",1,16,22,"16","22","c16r22"
0.00274972298484331,"WD_GenoA51","WD_Panel1","WD",1,16,23,"16","23","c16r23"
0.00240094888173042,"WD_GenoA5","WD_Panel1","WD",1,16,24,"16","24","c16r24"
0.00335376227637418,"WD_GenoA7","WD_Panel1","WD",1,16,25,"16","25","c16r25"
0.00247797880748764,"WD_GenoA55","WD_Panel1","WD",1,16,26,"16","26","c16r26"
0.00309876834153679,"WD_GenoA24","WD_Panel1","WD",1,16,27,"16","27","c16r27"
0.00264144416345832,"WD_GenoA22","WD_Panel1","WD",1,16,28,"16","28","c16r28"
0.00368422135227471,"WD_GenoA26","WD_Panel1","WD",1,16,29,"16","29","c16r29"
